run_id,seed,batch_size,repetition,stage,duration_ns,record_count,late_count,provenance
python-20260723T020649Z,621553246858843935,16,16,signature_admission_batch,2059145,16,1,measured
python-20260723T020649Z,621553246858843935,16,16,verify_batch,1769804,16,1,measured
python-20260723T020649Z,621553246858843935,16,17,proof_verify,14592,16,1,measured
python-20260723T020649Z,621553246858843935,16,17,signature_admission_batch,1893568,16,1,measured
python-20260723T020649Z,621553246858843935,16,17,merkle_build,19740,16,1,measured
python-20260723T020649Z,621553246858843935,16,17,sign_batch,582587,16,1,measured
python-20260723T020649Z,621553246858843935,16,17,verify_batch,1869182,16,1,measured
python-20260723T020649Z,621553246858843935,16,17,late_rebuild,53950,16,1,measured
python-20260723T020649Z,621553246858843935,16,18,merkle_build,49053,16,1,measured
python-20260723T020649Z,621553246858843935,16,18,late_rebuild,35162,16,1,measured
python-20260723T020649Z,621553246858843935,16,18,verify_batch,1775403,16,1,measured
python-20260723T020649Z,621553246858843935,16,18,sign_batch,608295,16,1,measured
python-20260723T020649Z,621553246858843935,16,18,signature_admission_batch,1875471,16,1,measured
python-20260723T020649Z,621553246858843935,16,18,proof_verify,16675,16,1,measured
python-20260723T020649Z,621553246858843935,16,19,late_rebuild,38958,16,1,measured
python-20260723T020649Z,621553246858843935,16,19,verify_batch,1787861,16,1,measured
python-20260723T020649Z,621553246858843935,16,19,merkle_build,18618,16,1,measured
python-20260723T020649Z,621553246858843935,16,19,sign_batch,598671,16,1,measured
python-20260723T020649Z,621553246858843935,16,19,signature_admission_batch,1838397,16,1,measured
python-20260723T020649Z,621553246858843935,16,19,proof_verify,11137,16,1,measured
python-20260723T020649Z,621553246858843935,16,20,signature_admission_batch,1852377,16,1,measured
python-20260723T020649Z,621553246858843935,16,20,late_rebuild,43605,16,1,measured
python-20260723T020649Z,621553246858843935,16,20,merkle_build,14541,16,1,measured
python-20260723T020649Z,621553246858843935,16,20,sign_batch,582888,16,1,measured
python-20260723T020649Z,621553246858843935,16,20,verify_batch,1771086,16,1,measured
python-20260723T020649Z,621553246858843935,16,20,proof_verify,11868,16,1,measured
python-20260723T020649Z,621553246858843935,16,21,merkle_build,15503,16,1,measured
python-20260723T020649Z,621553246858843935,16,21,verify_batch,1773710,16,1,measured
python-20260723T020649Z,621553246858843935,16,21,late_rebuild,41001,16,1,measured
python-20260723T020649Z,621553246858843935,16,21,sign_batch,615706,16,1,measured
python-20260723T020649Z,621553246858843935,16,21,signature_admission_batch,2108358,16,1,measured
python-20260723T020649Z,621553246858843935,16,21,proof_verify,13510,16,1,measured
python-20260723T020649Z,621553246858843935,16,22,sign_batch,729826,16,1,measured
python-20260723T020649Z,621553246858843935,16,22,proof_verify,13480,16,1,measured
python-20260723T020649Z,621553246858843935,16,22,late_rebuild,42844,16,1,measured
python-20260723T020649Z,621553246858843935,16,22,signature_admission_batch,2391740,16,1,measured
python-20260723T020649Z,621553246858843935,16,22,verify_batch,2026766,16,1,measured
python-20260723T020649Z,621553246858843935,16,22,merkle_build,23194,16,1,measured
python-20260723T020649Z,621553246858843935,16,23,late_rebuild,43535,16,1,measured
python-20260723T020649Z,621553246858843935,16,23,merkle_build,14862,16,1,measured
python-20260723T020649Z,621553246858843935,16,23,verify_batch,2208326,16,1,measured
python-20260723T020649Z,621553246858843935,16,23,signature_admission_batch,2330248,16,1,measured
python-20260723T020649Z,621553246858843935,16,23,proof_verify,26509,16,1,measured
python-20260723T020649Z,621553246858843935,16,23,sign_batch,813200,16,1,measured
python-20260723T020649Z,621553246858843935,16,24,merkle_build,37066,16,1,measured
python-20260723T020649Z,621553246858843935,16,24,late_rebuild,58477,16,1,measured
python-20260723T020649Z,621553246858843935,16,24,verify_batch,1764796,16,1,measured
python-20260723T020649Z,621553246858843935,16,24,signature_admission_batch,1866017,16,1,measured
python-20260723T020649Z,621553246858843935,16,24,proof_verify,14442,16,1,measured
python-20260723T020649Z,621553246858843935,16,24,sign_batch,627855,16,1,measured
python-20260723T020649Z,621553246858843935,16,25,proof_verify,9353,16,1,measured
python-20260723T020649Z,621553246858843935,16,25,signature_admission_batch,1850104,16,1,measured
python-20260723T020649Z,621553246858843935,16,25,merkle_build,18738,16,1,measured
python-20260723T020649Z,621553246858843935,16,25,sign_batch,585241,16,1,measured
python-20260723T020649Z,621553246858843935,16,25,late_rebuild,39008,16,1,measured
python-20260723T020649Z,621553246858843935,16,25,verify_batch,1765478,16,1,measured
python-20260723T020649Z,621553246858843935,16,26,verify_batch,1753120,16,1,measured
python-20260723T020649Z,621553246858843935,16,26,proof_verify,12599,16,1,measured
python-20260723T020649Z,621553246858843935,16,26,signature_admission_batch,1834721,16,1,measured
python-20260723T020649Z,621553246858843935,16,26,sign_batch,587615,16,1,measured
python-20260723T020649Z,621553246858843935,16,26,late_rebuild,42554,16,1,measured
python-20260723T020649Z,621553246858843935,16,26,merkle_build,14431,16,1,measured
